,sample,count,mean,std,min,25%,50%,75%,max,spc,hpi,Treatement
0,B73_28dpi_Control,34447.0,2.465801345308254,2.045384330838764,0.0,0.43389525243595084,2.351959003037143,4.0270434333375364,13.645253124064736,B73,28dpi,Control
1,B73_2dpi_Control,34447.0,2.5072868245441855,2.0551970775860102,0.0,0.45485232693645516,2.3957647768648282,4.069521730478916,12.4511492807199,B73,2dpi,Control
2,Mp717_0dpi_Control,34447.0,2.4412459805221203,2.06252096800655,0.0,0.3743540025376668,2.3119912938772056,4.011558254423525,13.165941764538966,Mp717,0dpi,Control
3,Mp717_2dpi_Control,34447.0,2.583015977090161,2.068113332830935,0.0,0.5372965453091849,2.51770654738564,4.15207792026359,12.402132713264006,Mp717,2dpi,Control
4,B73_2dpi_PH1,34447.0,2.502278186647759,2.10516053883956,0.0,0.34043351718444953,2.403071349725845,4.168313091829529,14.021274973889573,B73,2dpi,PH1
5,Mp717_2dpi_PH1,34447.0,2.4054555740891996,2.0559579708627087,0.0,0.3710268484164301,2.1983495625769245,3.9658212171823997,12.52190464945966,Mp717,2dpi,PH1
6,B73_14dpi_Control,34447.0,2.540332463955717,2.1188385151592635,0.0,0.4059945161550213,2.448419972630625,4.158518806647194,13.840315699428139,B73,14dpi,Control
7,Mp717_14dpi_Control,34447.0,2.479649084433533,2.108481028550906,0.0,0.3727404107314688,2.301833439829175,4.100716967434558,12.670996968139859,Mp717,14dpi,Control
8,B73_14dpi_PH1,34447.0,2.584269734727891,2.03781783983586,0.0,0.6038914452280116,2.57366293966814,4.045831725766103,13.703525119085612,B73,14dpi,PH1
9,Mp717_14dpi_PH1,34447.0,2.5082604386877216,2.0151796669080535,0.0,0.5043595393945672,2.484810974108725,3.9926778062609958,12.446788663127045,Mp717,14dpi,PH1
10,B73_0dpi_Control,34447.0,2.554634839236024,2.0385846698843357,0.0,0.5499066702853709,2.512532841974599,4.0398709280557465,13.195768970878653,B73,0dpi,Control
11,Mp717_28dpi_Control,34447.0,2.5203389802826415,2.0251043260403434,0.0,0.4793247339936096,2.499657128776491,4.048920569820332,12.026993659568037,Mp717,28dpi,Control
12,B73_2dpi_Control.1,34447.0,2.5854318341507763,2.084328016072442,0.0,0.5885589785303067,2.497599592697356,4.048563161475347,13.224782520571656,B73,2dpi,Control.1
13,Mp717_0dpi_Control.1,34447.0,2.584821991759156,2.077160048197661,0.0,0.5443859700912554,2.543525578386872,4.068043041473032,13.059493184605897,Mp717,0dpi,Control.1
14,Mp717_2dpi_Control.1,34447.0,2.482751210224138,2.014011101828679,0.0,0.4915755538429274,2.4024220388678077,4.012050139703648,12.472007910271646,Mp717,2dpi,Control.1
15,B73_2dpi_PH1.1,34447.0,2.5749604759017815,2.0237662816505737,0.0,0.5836249803565111,2.5257581980498696,4.089188793265712,12.546004555685945,B73,2dpi,PH1.1
16,Mp717_2dpi_PH1.1,34447.0,2.5605997408358725,2.085606453611133,0.0,0.5104606855001157,2.482804407954627,4.116772286710646,12.487654159327004,Mp717,2dpi,PH1.1
17,B73_14dpi_Control.1,34447.0,2.50013962959875,2.019628305167791,0.0,0.49673076844635394,2.40102694217495,4.00721793062514,12.273539200899526,B73,14dpi,Control.1
18,Mp717_14dpi_Control.1,34447.0,2.514130510467388,2.103955662042946,0.0,0.3958267316868518,2.3827613084161077,4.164939077737307,13.587695489424513,Mp717,14dpi,Control.1
19,B73_14dpi_PH1.1,34447.0,2.4259933537615446,2.019183122209801,0.0,0.4261793872362522,2.3069125601662597,3.9396121116049976,12.82003731919572,B73,14dpi,PH1.1
20,Mp717_14dpi_PH1.1,34447.0,2.4030488876298914,2.0529289833919266,0.0,0.3479683303145251,2.2067401088286496,3.9813138243217328,13.538055522677732,Mp717,14dpi,PH1.1
21,B73_28dpi_PH1,34447.0,2.4732627512002927,2.056602870662895,0.0,0.42673707172417574,2.3304063784287936,4.017311747497264,13.561419223485725,B73,28dpi,PH1
22,Mp717_28dpi_PH1,34447.0,2.412449033234085,2.030377872785051,0.0,0.4110058499145681,2.2377900776432686,3.957798547059602,12.446917864866025,Mp717,28dpi,PH1
23,B73_28dpi_Control.1,34447.0,2.506648065271369,2.0668277619374713,0.0,0.47873888258771957,2.368078260207719,4.029183398722957,13.760751129298116,B73,28dpi,Control.1
24,Mp717_28dpi_Control.1,34447.0,2.4552493491383545,2.0798580261539916,0.0,0.364094401973746,2.3036638668823324,4.050584407320642,12.614104760617447,Mp717,28dpi,Control.1
25,B73_28dpi_PH1.1,34447.0,2.3832961101532715,2.0109478305411668,0.0,0.3819134789868164,2.2153990376536994,3.9215363029016768,13.47307151430745,B73,28dpi,PH1.1
26,Mp717_28dpi_PH1.1,34447.0,2.5172344765728045,2.029860028278844,0.0,0.5242066326770636,2.440883117055193,4.018153426032919,12.81136465803374,Mp717,28dpi,PH1.1
27,B73_0dpi_Control.1,34447.0,2.607996346315188,2.072026484565638,0.0,0.5856341591312073,2.5546035855092013,4.137982973665373,13.5273181640209,B73,0dpi,Control.1
