sample,count,mean,std,min,25%,50%,75%,max
B73_0dpi_Control,10860.0,4.673652519630568,1.256850910032698,2.507974728031519,3.7617932104840066,4.426878606195575,5.3190105473457425,13.195768970878653
B73_0dpi_Control.1,10860.0,4.847593367117326,1.2447553097332673,2.5363936345181797,3.9424652415976045,4.615145489301263,5.488848328956494,13.5273181640209
B73_14dpi_Control,10860.0,4.84361342014795,1.239822056700957,2.530687552309021,3.9415758618182375,4.61524854588573,5.482486078481499,13.840315699428139
B73_14dpi_Control.1,10860.0,4.699646216350786,1.2033777587014365,2.511085935099589,3.817157631607393,4.48655670882596,5.362922178611971,12.273539200899526
B73_14dpi_PH1,10860.0,4.680128375170711,1.2855503876811518,2.508550351022613,3.7672071967502583,4.422327199909951,5.306793558881274,13.703525119085612
B73_14dpi_PH1.1,10860.0,4.615841455902121,1.2374912777444025,2.5069522408923777,3.7124389549706747,4.388323870209705,5.293684067766588,12.82003731919572
B73_28dpi_Control,10860.0,4.726811536564188,1.206553015823552,2.549065354744193,3.8444283351601123,4.521914460375568,5.373401995855362,13.645253124064736
B73_28dpi_Control.1,10860.0,4.787400222113905,1.2745783642120196,2.5126137449677817,3.861339994471209,4.553139287309859,5.4498411225890475,13.760751129298116
B73_28dpi_PH1,10860.0,4.76273981446507,1.2337245709616211,2.507246629090514,3.86785940768252,4.541000505346558,5.427451971474528,13.561419223485725
B73_28dpi_PH1.1,10860.0,4.657938342910531,1.1846317340938568,2.5216488035468134,3.7984756531033184,4.467383828974134,5.300201532729195,13.47307151430745
B73_2dpi_Control,10860.0,4.777403589040556,1.2022103018174946,2.5404365039918217,3.9062123693270765,4.5818121824552485,5.439962992475031,12.4511492807199
B73_2dpi_Control.1,10860.0,4.755274074595226,1.3882527436944752,2.5063734406838014,3.735069909959372,4.487859316275237,5.47277449262676,13.224782520571656
B73_2dpi_PH1,10860.0,4.792620898913253,1.181576475778063,2.5063785188882814,3.946246605651637,4.619726988569248,5.428109696983956,14.021274973889573
B73_2dpi_PH1.1,10860.0,4.760862328408848,1.1941695983401754,2.5262215889902753,3.8892301488444114,4.545313572106301,5.419728485126829,12.546004555685945
Mp717_0dpi_Control,10860.0,4.674004503696351,1.239583837282452,2.514357113069507,3.764308990864359,4.453445145374495,5.350054280630311,13.165941764538966
Mp717_0dpi_Control.1,10860.0,4.704030771074244,1.3338755024585356,2.5060864930911,3.7348640395726664,4.445137376462683,5.379146985991305,13.059493184605897
Mp717_14dpi_Control,10860.0,4.761219313468095,1.2463853814299652,2.511635019918524,3.8445915115311773,4.544958250805616,5.446070916979305,12.670996968139859
Mp717_14dpi_Control.1,10860.0,4.8587140883676865,1.199992058835966,2.5219552794342,3.990029056731615,4.672255573154745,5.512358837157,13.587695489424513
Mp717_14dpi_PH1,10860.0,4.58139983160941,1.2382366752846727,2.5090953329080197,3.691749093750645,4.358839259885121,5.22300435675674,12.446788663127045
Mp717_14dpi_PH1.1,10860.0,4.698989936634495,1.2140844319226953,2.5121257299411424,3.8155882352876933,4.514030706166569,5.3705540266580005,13.538055522677732
Mp717_28dpi_Control,10860.0,4.621924365329391,1.2003445862623903,2.5201506568387293,3.765391529122219,4.4041094852945095,5.241158511290899,12.026993659568037
Mp717_28dpi_Control.1,10860.0,4.7761957026258886,1.221461598030591,2.521166348944237,3.8841802889577894,4.552564562470131,5.420485770577041,12.614104760617447
Mp717_28dpi_PH1,10860.0,4.682813299583818,1.2200707840756502,2.5076754147591216,3.797640756434318,4.467377299120589,5.3360994542275035,12.446917864866025
Mp717_28dpi_PH1.1,10860.0,4.719822222207349,1.231875267282532,2.550713545306574,3.8216285888107775,4.4872483636905764,5.346821265696037,12.81136465803374
Mp717_2dpi_Control,10860.0,4.848368075756896,1.1998915783360549,2.586236318820405,3.9764552903525217,4.628076566835887,5.486279076427595,12.402132713264006
Mp717_2dpi_Control.1,10860.0,4.674948124102538,1.1926071220425989,2.526539614470766,3.8056768126459226,4.480652889100901,5.326384526654021,12.472007910271646
Mp717_2dpi_PH1,10860.0,4.6603484147560446,1.235761969776591,2.5091232101670817,3.7552187491859588,4.459303728779867,5.327441262316342,12.52190464945966
Mp717_2dpi_PH1.1,10860.0,4.7865744012584175,1.2685477136819898,2.5169909060818565,3.8650948112894037,4.556659319468019,5.452937160718859,12.487654159327004
