,0
B73_28dpi_Control,3956
B73_2dpi_Control,3832
Mp717_0dpi_Control,4167
Mp717_2dpi_Control,3801
B73_2dpi_PH1,4315
Mp717_2dpi_PH1,4244
B73_14dpi_Control,3918
Mp717_14dpi_Control,3954
B73_14dpi_PH1,3476
Mp717_14dpi_PH1,3675
B73_0dpi_Control,3706
Mp717_28dpi_Control,3612
B73_2dpi_Control.1,3633
Mp717_0dpi_Control.1,3836
Mp717_2dpi_Control.1,3967
B73_2dpi_PH1.1,3847
Mp717_2dpi_PH1.1,3579
B73_14dpi_Control.1,3923
Mp717_14dpi_Control.1,4132
B73_14dpi_PH1.1,4054
Mp717_14dpi_PH1.1,4145
B73_28dpi_PH1,3864
Mp717_28dpi_PH1,3752
B73_28dpi_Control.1,3721
Mp717_28dpi_Control.1,4051
B73_28dpi_PH1.1,4356
Mp717_28dpi_PH1.1,4048
B73_0dpi_Control.1,3739
